Date,moto
1/1/2023 00:00,668.68
1/2/2023 00:00,669.32
1/3/2023 00:00,649.72
1/4/2023 00:00,782.04
1/5/2023 00:00,780.32
1/6/2023 00:00,607.12
1/7/2023 00:00,520.36
1/8/2023 00:00,680.6
1/9/2023 00:00,712.56
1/10/2023 00:00,690.88
1/11/2023 00:00,739.12
1/12/2023 00:00,759.4
1/13/2023 00:00,631.4
1/14/2023 00:00,545.68
1/15/2023 00:00,699.44
1/16/2023 00:00,728.28
1/17/2023 00:00,728.28
1/18/2023 00:00,746.6
1/19/2023 00:00,791.4
1/20/2023 00:00,633.76
1/21/2023 00:00,535.36
1/22/2023 00:00,674.28
1/23/2023 00:00,693.12
1/24/2023 00:00,693.6
1/25/2023 00:00,988.6
1/26/2023 00:00,786.6
1/27/2023 00:00,652.16
1/28/2023 00:00,542.52
1/29/2023 00:00,673.68
1/30/2023 00:00,735.04
1/31/2023 00:00,698.48
2/1/2023 00:00,832.24
2/2/2023 00:00,848.56
2/3/2023 00:00,660.04
2/4/2023 00:00,574
2/5/2023 00:00,692.16
2/6/2023 00:00,731.56
2/7/2023 00:00,742.56
2/8/2023 00:00,752.2
2/9/2023 00:00,468.52
2/10/2023 00:00,404.48
2/11/2023 00:00,242
2/12/2023 00:00,668.52
2/13/2023 00:00,541.64
2/14/2023 00:00,395.24
2/15/2023 00:00,739.44
2/16/2023 00:00,743.52
2/17/2023 00:00,252.8
2/18/2023 00:00,242
2/19/2023 00:00,701.72
2/20/2023 00:00,644.44
2/21/2023 00:00,548.56
2/22/2023 00:00,832.24
2/23/2023 00:00,837.16
2/24/2023 00:00,207.72
2/25/2023 00:00,527.24
2/26/2023 00:00,773.2
2/27/2023 00:00,846.12
2/28/2023 00:00,755.64
3/1/2023 00:00,897.6
3/2/2023 00:00,892.44
3/3/2023 00:00,648.76
3/4/2023 00:00,517.52
3/5/2023 00:00,755.8
3/6/2023 00:00,733.48
3/7/2023 00:00,728.16
3/8/2023 00:00,787.16
3/9/2023 00:00,817.76
3/10/2023 00:00,494.72
3/11/2023 00:00,280.4
3/12/2023 00:00,722.08
3/13/2023 00:00,756.84
3/14/2023 00:00,756.96
3/15/2023 00:00,774.84
3/16/2023 00:00,810.32
3/17/2023 00:00,726.64
3/18/2023 00:00,552.16
3/19/2023 00:00,741.28
3/20/2023 00:00,770.72
3/21/2023 00:00,750.64
3/22/2023 00:00,850.76
